"","size","NA_pc","BHit_pc","BHit","BH_ali","BH_id","NA_pc_","Taxo_pc","Taxo","Taxo_ali","Taxo_id","Taxo_level","species","genus","family","order","class","phylum","superkingdom","size_annot","gp"
"msp_0772",1898,0.1,99.7,"Clostridiales bacterium 1_7_47FAA",100,100,0.1,99.9,"Clostridiales bacterium 1_7_47FAA  & VE202-28",100,100,"species","Clostridiales bacterium 1_7_47FAA  & VE202-28","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1581,"msp_0772"
"msp_0773",1885,27.1,30.5,"Firmicutes bacterium CAG:238",72.5,77.7,27.1,69.2,"Firmicutes",57,78.5,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1276,"msp_0773"
"msp_0774",2166,1.6,95.4,"Prevotella sp. CAG:1058",97.7,98.5,1.6,95.4,"Prevotella sp. CAG:1058",97.7,98.5,"species","Prevotella sp. CAG:1058","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2033,"msp_0774"
"msp_0775",2054,26.9,29.2,"Brachyspira sp. CAG:484",65.5,78.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2000,"msp_0775"
"msp_0776",2018,38.2,12.5,"uncultured Eubacterium sp. 2789STDY5608876",69.5,76.3,38.2,55.6,"Clostridiales",48.9,77.9,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1957,"msp_0776"
"msp_0777",2531,2.2,89.5,"Firmicutes bacterium CAG:129",93.4,97.9,2.2,89.5,"Firmicutes bacterium CAG:129",93.4,97.9,"species","Firmicutes bacterium CAG:129","unclassified Oscillospiraceae","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2278,"msp_0777"
"msp_0778",2044,9.8,55.9,"uncultured Faecalibacterium sp. 2789STDY5608870",91.6,85.1,9.8,59.7,"Faecalibacterium prausnitzii 4 (cf. KLE1255)",92.5,85,"genus","unclassified Faecalibacterium","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1750,"msp_0778"
"msp_0779",1693,4.8,91.4,"Clostridium sp. CAG:417",96.3,98.6,4.8,91.4,"Clostridium sp. CAG:417",96.3,98.6,"species","Clostridium sp. CAG:417","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1433,"msp_0779"
"msp_0780",1902,20.3,10.4,"Hungatella hathewayi WAL-18680",65.3,77,20.3,62.9,"Lachnospiraceae",58.2,77.6,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1345,"msp_0780"
"msp_0781",1999,35.6,14,"Faecalibacterium sp. CAG:74",71.7,78.1,35.6,54.9,"Clostridiales",59.3,78.7,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1988,"msp_0781"
"msp_0782",2051,1.3,93.4,"Clostridium sp. CAG:729",96.9,99,1.3,96.9,"Candidatus Gastranaerophilales bacterium MH_37 & HUM_20 / Melainabacteria sp. 35_41",99.6,99.7,"species","Candidatus Gastranaerophilales bacterium MH_37 & HUM_20 / Melainabacteria sp. 35_41","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Melainabacteria","Candidatus Melainabacteria","Bacteria",1916,"msp_0782"
"msp_0783",1913,41.9,16.1,"Clostridiales bacterium Firm_07",69,77.5,41.9,52.1,"Firmicutes",51.9,78.8,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1810,"msp_0783"
"msp_0784",1978,37,19.3,"Ruminococcus sp. CAG:488",64.7,77.4,37,59.2,"Clostridiales",53.3,77.8,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1978,"msp_0784"
"msp_0785",1949,1.4,93.3,"Collinsella tanakaei YIT 12063",98.5,97.5,1.4,93.3,"Collinsella tanakaei",98.5,97.5,"species","Collinsella tanakaei","Collinsella","Coriobacteriaceae","Coriobacteriales","Coriobacteriia","Actinobacteria","Bacteria",1861,"msp_0785"
"msp_0786",2367,23.2,26.2,"Bacteroidales bacterium M6",74.5,78.8,23.2,59.1,"unclassified Muribaculaceae",67.1,78.3,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2336,"msp_0786"
"msp_0787",1910,54.3,6.7,"Acidiphilium sp. CAG:727",52.4,78.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1834,"msp_0787"
"msp_0788",2025,37.6,29.5,"Azospirillum sp. CAG:239",74.5,78.2,37.6,50.2,"Rhodospirillales",68.2,78.8,"order","unclassified Rhodospirillales","unclassified Rhodospirillales","unclassified Rhodospirillales","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria",2017,"msp_0788"
"msp_0789",2233,0.9,96.4,"Prevotella sp. CAG:1185",98.6,99.7,0.9,96.4,"Prevotella sp. CAG:1185",98.6,99.7,"species","Prevotella sp. CAG:1185","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1377,"msp_0789"
"msp_0790",1937,43.7,8.4,"Ruminococcus sp. CAG:382",50.6,77.3,43.7,50.8,"Firmicutes",43.5,79.2,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1884,"msp_0790"
"msp_0791",2158,13.3,39.3,"Oscillibacter sp. 1-3",85.8,81.6,13.3,67.4,"Oscillibacter",84.5,81.7,"genus","unclassified Oscillibacter","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1969,"msp_0791"
"msp_0792",2967,0,86.5,"Clostridium perfringens str. 13",99.1,99,0,99.9,"Clostridium perfringens",99.6,99.8,"species","Clostridium perfringens","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2823,"msp_0792"
"msp_0793",2077,32.8,25.5,"Firmicutes bacterium CAG:145",77.2,77.4,32.8,51.7,"Clostridia",45.8,77.8,"class","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","Clostridia","Firmicutes","Bacteria",2013,"msp_0793"
"msp_0794",2373,27.7,21.4,"Slackia piriformis YIT 12062",71.3,78.2,27.7,55,"Eggerthellaceae",64.5,78,"family","unclassified Eggerthellaceae","unclassified Eggerthellaceae","Eggerthellaceae","Eggerthellales","Coriobacteriia","Actinobacteria","Bacteria",2279,"msp_0794"
"msp_0795",2305,47.8,23.9,"Azospirillum sp. CAG:239",64.9,78,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2266,"msp_0795"
"msp_0796",2167,44.2,8.7,"Ruminococcus sp. CAG:724",52.9,76.5,44.2,51.4,"Firmicutes",43.5,78.6,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1719,"msp_0796"
"msp_0797",1899,27.3,13.8,"Ruminococcaceae bacterium FB2012",68.6,76.5,27.3,55.7,"Ruminococcus",63.8,76.9,"genus","unclassified Ruminococcus","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1899,"msp_0797"
"msp_0798",2031,53.2,21.5,"Corallococcus sp. CAG:1435",62.6,77.2,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1831,"msp_0798"
"msp_0799",2599,9.3,22.9,"Mediterranea massiliensis Marseille-P2645",88.4,81.4,10.3,83.3,"Bacteroides",81.7,79.2,"genus","unclassified Bacteroides","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2470,"msp_0799"
"msp_0800",2227,9.5,84.4,"Eggerthella sp. CAG:209",96.1,97.5,9.5,87.1,"Eggerthella sp. 51_9 & CAG:209",98.1,97.9,"species","Eggerthella sp. 51_9 & CAG:209","Eggerthella","Eggerthellaceae","Eggerthellales","Coriobacteriia","Actinobacteria","Bacteria",2016,"msp_0800"
"msp_0801",2263,2.6,95.7,"Sutterella parvirubra YIT 11816",96.9,99.1,2.6,95.7,"Sutterella parvirubra",96.9,99.1,"species","Sutterella parvirubra","Sutterella","Sutterellaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria",2174,"msp_0801"
"msp_0802",1950,1.9,94.2,"Bacteroidales bacterium H3",98.8,98.3,1.9,94.2,"Bacteroidales bacterium H3",98.8,98.3,"species","Bacteroidales bacterium H3","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1918,"msp_0802"
"msp_0803",1971,47.2,12.2,"Anaerotruncus sp. CAG:390",58.9,76.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1952,"msp_0803"
"msp_0804",2205,55.6,5.1,"Acidiphilium sp. CAG:727",42.4,79.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1708,"msp_0804"
"msp_0805",1841,6.2,54.7,"Roseburia inulinivorans CAG:15_42_14",89.3,85.3,6.2,81.1,"Roseburia inulinivorans",90.9,85.4,"genus","unclassified Roseburia","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1203,"msp_0805"
"msp_0806",2073,53.7,21.1,"Corallococcus sp. CAG:1435",65.7,76.9,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2011,"msp_0806"
"msp_0807",1915,43.2,5.2,"Anaerotruncus sp. CAG:390",51.4,78,43.2,52.3,"Firmicutes",44.4,79.2,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1896,"msp_0807"
"msp_0808",1981,5.3,89.6,"Clostridium sp. CAG:288",96.7,99,5.3,89.6,"Clostridium sp. CAG:288",96.7,99,"species","Clostridium sp. CAG:288","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1895,"msp_0808"
"msp_0809",1968,51,9.5,"Anaerotruncus sp. CAG:390",58.1,77.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1963,"msp_0809"
"msp_0810",1962,51.8,2.5,"Clostridium sp. CAG:448",56.9,76.2,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1945,"msp_0810"
"msp_0811",2069,15.3,74.1,"Staphylococcus sp. CAG:324",97.1,99.2,15.3,74.1,"[Staphylococcus] sp. CAG:324",97.1,99.2,"species","[Staphylococcus] sp. CAG:324","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1620,"msp_0811"
"msp_0812",2075,5.8,36.2,"Lachnoclostridium sp. An169",84.3,79.7,5.8,71.6,"Lachnoclostridium",81.6,79.5,"genus","unclassified Lachnoclostridium","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1896,"msp_0812"
"msp_0813",2143,25.1,21.1,"Bacteroidales bacterium M6",73.3,78.1,25.2,55.4,"unclassified Muribaculaceae",64.5,78.2,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2121,"msp_0813"
"msp_0814",1942,2.7,81.8,"Lachnoclostridium sp. An138",99,98.2,2.7,81.8,"Lachnoclostridium sp. An138",99,98.2,"species","Lachnoclostridium sp. An138","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1828,"msp_0814"
"msp_0815",1900,20.2,41.9,"Faecalibacterium prausnitzii 2789STDY5834930",82.3,77.6,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1462,"msp_0815"
"msp_0816c",2173,14.9,32.1,"uncultured Clostridium sp. 2789STDY5834922",78.7,78.1,14.9,55.3,"unclassified Clostridiales",70.1,77.9,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1876,"msp_0816c"
"msp_0817",1745,9.6,57.7,"uncultured Faecalibacterium sp. 2789STDY5608870",87.9,84.7,9.6,62.3,"Faecalibacterium prausnitzii 4 (cf. KLE1255)",87.9,84.5,"genus","unclassified Faecalibacterium","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",762,"msp_0817"
"msp_0818",2024,8.7,83.9,"Clostridium sp. CAG:302",95,98,8.7,83.9,"Clostridium sp. CAG:302",95,98,"species","Clostridium sp. CAG:302","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1675,"msp_0818"
"msp_0819",2086,1,95.8,"Clostridium sp. CAG:715",96.8,99.1,1,98.3,"Candidatus Gastranaerophilales bacterium HUM_2 / Candidatus Melainabacteria bacterium MEL.A1",98.3,99.4,"species","Candidatus Gastranaerophilales bacterium HUM_2 / Candidatus Melainabacteria bacterium MEL.A1","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Melainabacteria","Candidatus Melainabacteria","Bacteria",1919,"msp_0819"
"msp_0820",2049,10.5,16.8,"Hungatella hathewayi WAL-18680",74.3,78,10.5,53.6,"unclassified Clostridiales",62.8,78.5,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1968,"msp_0820"
"msp_0821",2135,10.3,78.6,"Firmicutes bacterium CAG:313",95.6,98.7,10.3,78.6,"Firmicutes bacterium CAG:313",95.6,98.7,"species","Firmicutes bacterium CAG:313","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1954,"msp_0821"
"msp_0822",1728,15.1,40.4,"Firmicutes bacterium CAG:176_63_11",86.5,84.8,15.1,60.5,"unclassified Firmicutes",84,83.3,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",564,"msp_0822"
"msp_0823",1929,2.7,95.6,"Ruminococcus sp. CAG:724",95.3,99.1,2.7,95.6,"Ruminococcus sp. CAG:724",95.3,99.1,"species","Ruminococcus sp. CAG:724","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1842,"msp_0823"
"msp_0824",1938,0,100,"Clostridium sp. CAG:967",99,99.7,0,100,"Clostridium sp. CAG:967",99,99.7,"species","Clostridium sp. CAG:967","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1652,"msp_0824"
"msp_0825",2463,1.7,95.2,"Firmicutes bacterium CAG:791",98,99.8,1.7,95.2,"Firmicutes bacterium CAG:791",98,99.8,"species","Firmicutes bacterium CAG:791","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2139,"msp_0825"
"msp_0826",1994,30.1,50.1,"Firmicutes bacterium CAG:631",94.3,82.7,30.1,50.1,"Firmicutes bacterium CAG:631",94.3,82.7,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1984,"msp_0826"
"msp_0827",2720,27.9,33.4,"Odoribacter splanchnicus An45",88.3,79.1,28,50.6,"Odoribacteraceae",83.5,79.1,"family","unclassified Odoribacteraceae","unclassified Odoribacteraceae","Odoribacteraceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2690,"msp_0827"
"msp_0828",2100,0.2,94.4,"Massiliomicrobiota sp. An80",99.4,98.9,0.2,99.2,"Massiliomicrobiota sp. An80 & An105 & An134 & An142",99.8,99.3,"species","Massiliomicrobiota sp. An80 & An105 & An134 & An142","Massiliomicrobiota","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",1689,"msp_0828"
"msp_0829",1960,25.9,14.1,"Lachnospiraceae bacterium V9D3004",65.4,77.2,25.9,61.4,"Lachnospiraceae",54.8,78.1,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1936,"msp_0829"
"msp_0830",1939,45.9,23.8,"Azospirillum sp. CAG:239",66,77.5,45.9,51.6,"Proteobacteria",59.3,78.7,"phylum","unclassified Proteobacteria","unclassified Proteobacteria","unclassified Proteobacteria","unclassified Proteobacteria","unclassified Proteobacteria","Proteobacteria","Bacteria",1925,"msp_0830"
"msp_0831",2501,4.2,86.6,"Faecalicoccus pleomorphus DSM 20574",98.7,95.6,4.2,86.6,"Faecalicoccus pleomorphus",98.7,95.6,"species","Faecalicoccus pleomorphus","Faecalicoccus","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",2454,"msp_0831"
"msp_0832",2038,0,92.4,"Streptococcus pasteurianus 651_SPAS",99.4,99.7,0,98.8,"Streptococcus pasteurianus",99.7,99.8,"species","Streptococcus pasteurianus","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",1680,"msp_0832"
"msp_0833",2049,0.1,76,"Streptococcus thermophilus CAG:236",99.5,99.6,0.1,99.5,"Streptococcus thermophilus",99.8,99.9,"species","Streptococcus thermophilus","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",918,"msp_0833"
"msp_0834",2365,17,60.2,"Dialister succinatiphilus YIT 11850",88.4,81.4,17,60.2,"Dialister succinatiphilus",88.4,81.4,"genus","unclassified Dialister","Dialister","Veillonellaceae","Veillonellales","Negativicutes","Firmicutes","Bacteria",2291,"msp_0834"
"msp_0835",1922,3.4,80.8,"Clostridiales bacterium 41_21_two_genomes",98.9,98.8,3.4,80.8,"Clostridiales bacterium 41_21_two_genomes",98.9,98.8,"species","Clostridiales bacterium 41_21_two_genomes","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1834,"msp_0835"
"msp_0836",2648,28.3,15.8,"Bacteroidales bacterium M11",71.1,78.1,28.3,53,"unclassified Muribaculaceae",65.8,78.4,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2629,"msp_0836"
"msp_0837",1930,35.2,13.1,"Solobacterium moorei F0204",60,76.3,35.2,62.3,"Firmicutes",43.8,78.6,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1881,"msp_0837"
"msp_0838",1984,1.7,95.5,"Fusobacterium sp. CAG:815",97,99,1.7,95.8,"Candidatus Gastranaerophilales bacterium HUM_6 & HUM_7 & HUM_12 & HUM_14",97.8,99,"species","Candidatus Gastranaerophilales bacterium HUM_6 & HUM_7 & HUM_12 & HUM_14","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Gastranaerophilales","Candidatus Melainabacteria","Candidatus Melainabacteria","Bacteria",1870,"msp_0838"
"msp_0839",1938,1.5,97.1,"Clostridium sp. CAG:964",97.5,98.8,1.5,97.1,"Clostridium sp. CAG:964",97.5,98.8,"species","Clostridium sp. CAG:964","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1854,"msp_0839"
"msp_0840",2072,41.2,8.3,"Atopobium fossor DSM 15642",65,76.6,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2054,"msp_0840"
"msp_0841",2015,10.1,67.1,"Oscillibacter sp. ER4",92.4,85.8,10.1,70.4,"Oscillibacter sp. ER4 / Firmicutes bacterium CAG:129_59_24",92.8,85.9,"genus","unclassified Oscillibacter","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1167,"msp_0841"
"msp_0842",1950,50.3,2.2,"uncultured Clostridium sp. 2789STDY5834941",48.3,76.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1896,"msp_0842"
"msp_0843",2003,0.8,95.4,"Weissella confusa DSM 20196",99.3,98.7,0.8,98.5,"Weissella confusa",99.7,99.1,"species","Weissella confusa","Weissella","Leuconostocaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",1881,"msp_0843"
"msp_0844c",1879,0.3,98,"Campylobacter concisus 13826",99.8,99.6,0.3,99.1,"Campylobacter concisus 2",99.8,99.8,"species","Campylobacter concisus 2","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Bacteria",1733,"msp_0844c"
"msp_0845",1825,5.4,87,"Clostridium sp. CAG:440",97.2,98.9,5.4,87,"Clostridium sp. CAG:440",97.2,98.9,"species","Clostridium sp. CAG:440","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1567,"msp_0845"
"msp_0846",1748,4.2,85.2,"Cloacibacillus sp. An23",97.3,86.6,4.2,85.2,"Cloacibacillus sp. An23",97.3,86.6,"genus","unclassified Cloacibacillus","Cloacibacillus","Synergistaceae","Synergistales","Synergistia","Synergistetes","Bacteria",1720,"msp_0846"
"msp_0847",1824,41.6,3.4,"Alistipes ihumii AP11",39.5,77.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1790,"msp_0847"
"msp_0848",1852,35.4,9.2,"Tyzzerella sp. An114",65.5,76.1,35.4,58.5,"Clostridiales",42.9,77.8,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1763,"msp_0848"
"msp_0849",2227,10.8,61.7,"Alistipes sp. An116",91,85.9,10.8,63.6,"Alistipes sp. An54 & An116",90.7,85.8,"genus","unclassified Alistipes","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1694,"msp_0849"
"msp_0850",1689,25.4,35.1,"Firmicutes bacterium CAG:110",86.7,90,25.4,66.7,"Firmicutes",75.8,85.1,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",744,"msp_0850"
"msp_0851",1947,25.3,34.3,"uncultured Eubacterium sp. 2789STDY5608876",85.1,77.4,25.3,68.2,"Clostridiales",63.5,77.6,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1878,"msp_0851"
"msp_0852",2056,1,95,"Eubacterium dolichum CAG:375",96,99.3,1,98,"Eubacterium dolichum",99.6,99.6,"species","Eubacterium dolichum","unclassified Erysipelotrichaceae","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",1984,"msp_0852"
"msp_0853c",1876,0.1,99.7,"Granulicatella adiacens ATCC 49175",100,100,0.1,99.7,"Granulicatella adiacens",100,100,"species","Granulicatella adiacens","Granulicatella","Carnobacteriaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",1852,"msp_0853c"
"msp_0854",2205,6.7,88.1,"Clostridium sp. CAG:349",93.9,96.8,6.7,88.1,"Clostridium sp. CAG:349",93.9,96.8,"species","Clostridium sp. CAG:349","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2119,"msp_0854"
"msp_0855",1770,20,13.5,"Oscillibacter sp. CAG:155",68.8,78.6,20,52.7,"unclassified Clostridiales",62.6,78.9,"family","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1591,"msp_0855"
"msp_0856",1828,7.8,81.3,"Clostridium sp. CAG:470",94.2,97,7.8,82.4,"Clostridium sp. 28_17 & CAG:470",94.9,97,"species","Clostridium sp. 28_17 & CAG:470","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1224,"msp_0856"
"msp_0857",1913,26.7,18.1,"Bacteroidales bacterium M5",65.2,77.7,26.8,54.7,"unclassified Muribaculaceae",59.4,77.3,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1899,"msp_0857"
"msp_0858",2335,15.1,72.7,"Clostridium sp. CAG:433",95.5,96.3,15.1,72.7,"Clostridium sp. CAG:433",95.5,96.3,"species","Clostridium sp. CAG:433","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2261,"msp_0858"
"msp_0859",1951,52.6,6.2,"Christensenellaceae bacterium Phil1",50,76.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1945,"msp_0859"
"msp_0860",2245,7,75.6,"uncultured Clostridium sp. 2789STDY5834904",96.5,86.2,7,81.5,"Intestinibacter bartlettii",96.3,86.3,"genus","unclassified Intestinibacter","Intestinibacter","Peptostreptococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1745,"msp_0860"
"msp_0861",1710,13.4,33.4,"Oscillibacter sp. 1-3",82.5,79.3,13.4,65.1,"Oscillibacter",81.6,79.2,"genus","unclassified Oscillibacter","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1597,"msp_0861"
"msp_0862",2209,25.5,24,"Bacteroidales bacterium M8",74.1,79,25.5,57,"unclassified Muribaculaceae",68.6,78.7,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2209,"msp_0862"
"msp_0863",1847,28.6,11.5,"uncultured Eubacterium sp. 2789STDY5608818",70.6,78.4,28.6,54.4,"Lachnospiraceae",53.2,78,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1820,"msp_0863"
"msp_0864",1595,60.2,39.6,"Homo sapiens",93.1,86.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1226,"msp_0864"
"msp_0865",3140,0,91.8,"Enterobacter sp. ODB01",100,99.9,0,99.9,"Enterobacter kobei",100,99.9,"species","Enterobacter kobei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bacteria",2378,"msp_0865"
"msp_0866c",1821,0,94.2,"Lactobacillus agilis DSM 20509",99.6,99,0,100,"Lactobacillus agilis",99.9,99.2,"species","Lactobacillus agilis","Lactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",1821,"msp_0866c"
